experiment_id,timestamp,seed,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,repetition,computational_time,convergence_iterations,converged,is_nash_equilibrium,data_source
exp_42_20_proportional_4,2026-09-01T13:22:29.903805,45,20,proportional,100.0,100.0,100.0,0.7559,-0.7021,11.81,3.44,4,0.0002,,,,SIMULATION
exp_42_20_proportional_5,2026-09-01T13:22:29.904080,46,20,proportional,100.0,100.0,100.0,0.8103,-0.7191,20.44,3.0,5,0.0002,,,,SIMULATION
exp_42_20_proportional_6,2026-09-01T13:22:29.904359,47,20,proportional,100.0,100.0,100.0,0.8035,-0.6838,12.93,3.15,6,0.0002,,,,SIMULATION
exp_42_20_proportional_7,2026-09-01T13:22:29.904635,48,20,proportional,100.0,100.0,100.0,0.8163,-0.6015,15.67,1.66,7,0.0002,,,,SIMULATION
exp_42_20_proportional_8,2026-09-01T13:22:29.904912,49,20,proportional,100.0,100.0,100.0,0.7962,-0.6372,8.94,3.07,8,0.0002,,,,SIMULATION
exp_42_20_proportional_9,2026-09-01T13:22:29.905223,50,20,proportional,100.0,100.0,100.0,0.8461,-0.6591,14.97,2.33,9,0.0003,,,,SIMULATION
exp_42_20_proportional_10,2026-09-01T13:22:29.905481,51,20,proportional,100.0,100.0,100.0,0.8864,-0.6038,11.41,3.51,10,0.0002,,,,SIMULATION
exp_42_20_priority_1,2026-09-01T13:22:29.905766,42,20,priority,100.0,100.0,100.0,0.9337,-0.5769,16.95,1.13,1,0.0003,,,,SIMULATION
exp_42_20_priority_2,2026-09-01T13:22:29.906045,43,20,priority,100.0,100.0,100.0,0.9344,-0.5765,8.54,4.48,2,0.0002,,,,SIMULATION
exp_42_20_priority_3,2026-09-01T13:22:29.906324,44,20,priority,100.0,100.0,100.0,0.9439,-0.6214,13.72,3.71,3,0.0002,,,,SIMULATION
exp_42_20_priority_4,2026-09-01T13:22:29.906600,45,20,priority,100.0,100.0,100.0,0.9366,-0.642,11.81,3.44,4,0.0002,,,,SIMULATION
exp_42_20_priority_5,2026-09-01T13:22:29.906897,46,20,priority,100.0,100.0,100.0,0.9266,-0.7152,20.44,3.0,5,0.0003,,,,SIMULATION
exp_42_20_priority_6,2026-09-01T13:22:29.907188,47,20,priority,100.0,100.0,100.0,0.9337,-0.6467,12.93,3.15,6,0.0003,,,,SIMULATION
exp_42_20_priority_7,2026-09-01T13:22:29.907464,48,20,priority,100.0,100.0,100.0,0.9498,-0.5525,15.67,1.66,7,0.0002,,,,SIMULATION
exp_42_20_priority_8,2026-09-01T13:22:29.907861,49,20,priority,100.0,100.0,100.0,0.9325,-0.6175,8.94,3.07,8,0.0004,,,,SIMULATION
exp_42_20_priority_9,2026-09-01T13:22:29.908507,50,20,priority,100.0,100.0,100.0,0.9364,-0.6483,14.97,2.33,9,0.0006,,,,SIMULATION
