experiment_id,timestamp,seed,parameter,parameter_value,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,computational_time,data_source
sensitivity_42_20_alpha_fair_w_throughput_0.5_46,2026-09-01T11:49:21.178068,46,w_throughput,0.5,20,alpha_fair,100.0,100.0,100.0,0.8103,-1.722716,20.44,3.0,5.3e-05,SIMULATION
sensitivity_42_20_game_theory_w_throughput_0.5_42,2026-09-01T11:49:21.180871,42,w_throughput,0.5,20,game_theory,100.0,59.5,59.5,0.9581,-0.169336,16.95,1.13,6.2e-05,SIMULATION
sensitivity_42_20_game_theory_w_throughput_0.5_43,2026-09-01T11:49:21.183341,43,w_throughput,0.5,20,game_theory,100.0,59.5,59.5,0.9555,-0.157104,8.54,4.48,6e-05,SIMULATION
sensitivity_42_20_game_theory_w_throughput_0.5_44,2026-09-01T11:49:21.185606,44,w_throughput,0.5,20,game_theory,100.0,59.5,59.5,0.9555,-0.186956,13.72,3.71,5.8e-05,SIMULATION
sensitivity_42_20_game_theory_w_throughput_0.5_45,2026-09-01T11:49:21.188283,45,w_throughput,0.5,20,game_theory,100.0,59.5,59.5,0.9713,-0.186735,11.81,3.44,5.9e-05,SIMULATION
sensitivity_42_20_game_theory_w_throughput_0.5_46,2026-09-01T11:49:21.192723,46,w_throughput,0.5,20,game_theory,100.0,59.5,59.5,0.9607,-0.226627,20.44,3.0,0.000161,SIMULATION
sensitivity_42_30_equal_w_throughput_0.5_42,2026-09-01T11:49:21.193000,42,w_throughput,0.5,30,equal,100.0,97.9033,97.9033,0.9936,-0.862639,16.95,1.13,8.2e-05,SIMULATION
sensitivity_42_30_equal_w_throughput_0.5_43,2026-09-01T11:49:21.193218,43,w_throughput,0.5,30,equal,100.0,99.3633,99.3633,0.999,-0.889955,8.54,4.48,6.7e-05,SIMULATION
sensitivity_42_30_equal_w_throughput_0.5_44,2026-09-01T11:49:21.193414,44,w_throughput,0.5,30,equal,100.0,99.4667,99.4667,0.9992,-0.912273,13.72,3.71,6.4e-05,SIMULATION
sensitivity_42_30_equal_w_throughput_0.5_45,2026-09-01T11:49:21.193612,45,w_throughput,0.5,30,equal,100.0,98.5833,98.5833,0.9958,-0.886227,11.81,3.44,6.3e-05,SIMULATION
sensitivity_42_30_equal_w_throughput_0.5_46,2026-09-01T11:49:21.193812,46,w_throughput,0.5,30,equal,100.0,98.9067,98.9067,0.9965,-0.951143,20.44,3.0,6e-05,SIMULATION
sensitivity_42_30_proportional_w_throughput_0.5_42,2026-09-01T11:49:21.194007,42,w_throughput,0.5,30,proportional,100.0,100.0,100.0,0.8041,-0.951241,16.95,1.13,6.2e-05,SIMULATION
sensitivity_42_30_proportional_w_throughput_0.5_43,2026-09-01T11:49:21.194194,43,w_throughput,0.5,30,proportional,100.0,100.0,100.0,0.8005,-0.936516,8.54,4.48,6.1e-05,SIMULATION
sensitivity_42_30_proportional_w_throughput_0.5_44,2026-09-01T11:49:21.194381,44,w_throughput,0.5,30,proportional,100.0,100.0,100.0,0.7492,-0.968396,13.72,3.71,6e-05,SIMULATION
